request_id	artist	track	status	matched_artist	matched_track	album	match_score	heard_seconds	tempo	beat_cv	onset_rate	dynamic_range	rms_mean	rms_std	centroid	percussive_share	tonal_entropy	low_share	climax_segment	full_tempo	full_dynamic_complexity	full_chord_change_rate	full_key	full_scale
worlds26-20260802-001	Kessoncoda	Greyscale	heard_official_short_preview	Kessoncoda	Greyscale	Outerstate	1.0	29.976	151.999	0.02262	3.33606	24.734	0.10356	0.07594	1413.02	0.31487	3.5282	0.53032	2					
worlds26-20260802-002	Immortal Onion	IA	no_usable_open_features_or_permitted_audio_found																					
worlds26-20260802-003	BeraadGeslagen	Isabellade	heard_official_short_preview	BeraadGeslagen	Isabellade	Duizeldorp	1.0	29.976	129.199	0.03146	2.76893	19.517	0.1211	0.07892	2486.87	0.43266	3.5417	0.72158	12					
worlds26-20260802-004	Shai Maestro	The Stone Skipper	heard_official_short_preview	Shai Maestro	The Stone Skipper	The Stone Skipper	1.0	29.952	129.199	0.04612	6.27665	11.801	0.05662	0.03147	1100.37	0.49493	3.54733	0.43397	11					
worlds26-20260802-005	Joe Armon-Jones	Almost Went Too Far	heard_official_short_preview	Joe Armon-Jones	Almost Went Too Far	Starting Today	1.0	29.929	161.499	0.04199	4.84479	12.453	0.10646	0.05352	1713.62	0.35663	3.55977	0.69969	11	81.4504013062	4.12500667572	0.077655851841	E	major
worlds26-20260802-006	KUF	Universe Digits	no_usable_open_features_or_permitted_audio_found																					
worlds26-20260802-007	GoGo Penguin	Saturnine	heard_official_short_preview	GoGo Penguin	Saturnine	Everything Is Going to Be OK	1.0	29.929	112.347	0.01943	5.21232	11.069	0.12848	0.05504	769.29	0.25528	3.4997	0.64064	10					
worlds26-20260802-008	James Holden	Common Land	heard_official_short_preview	James Holden	Common Land	Imagine This Is a High Dimensional Space of All Possibilities	1.0	29.929	112.347	0.04328	7.55119	6.759	0.10849	0.02875	2033.39	0.27861	3.46413	0.15217	12					
worlds26-20260802-009	James Holden & The Animal Spirits	The Caterpillar's Intervention	no_usable_open_features_or_permitted_audio_found																					
worlds26-20260802-010	Binker and Moses	Intoxication from the Jahvmonishi Leaves	heard_official_short_preview	Binker and Moses	Intoxication from the Jahvmonishi Leaves	Journey to the Mountain of Forever	1.0	29.952	135.999	0.06432	5.1749	15.132	0.02425	0.01503	2299.25	0.46746	3.54002	0.46284	11	108.476928711	3.15581893921	0.123657144606	G	minor
worlds26-20260802-011	Szun Waves	Earth Patterns	no_usable_open_features_or_permitted_audio_found																					
worlds26-20260802-012	Hidden Orchestra	Skylarks	heard_official_short_preview	Hidden Orchestra	Skylarks	To Dream is to Forget	1.0	29.929	80.75	0.01957	2.90687	15.799	0.07623	0.04719	746.89	0.29519	3.55774	0.83698	10					
worlds26-20260802-013	Poppy Ackroyd	Salt	heard_official_short_preview	Poppy Ackroyd	Salt	Feathers	1.0	29.952	184.57	0.03342	4.1733	15.996	0.0168	0.01065	987.57	0.26136	3.46304	0.01623	11	89.9981536865	7.42871761322	0.0348456092179	D	minor
worlds26-20260802-014	Sunda Arc	Distant Siren	heard_official_short_preview	Sunda Arc	Distant Siren	Night Lands	1.0	29.976	112.347	0.06741	1.76811	11.106	0.11579	0.0505	967.77	0.2403	3.45282	0.69012	11					
worlds26-20260802-015	Kelly Moran	Butterfly Phase	heard_official_short_preview	Kelly Moran	Butterfly Phase	Moves in the Field	1.0	29.952	112.347	0.07121	5.47537	9.781	0.02154	0.01019	731.88	0.14912	3.19341	0.00516	12					
worlds26-20260802-016	Shabaka	End of Innocence	heard_official_short_preview	Shabaka	End of Innocence	Perceive Its Beauty, Acknowledge Its Grace	1.0	29.976	135.999	0.06177	2.3686	13.927	0.08868	0.04323	597.6	0.07577	3.40947	0.02677	10					
worlds26-20260802-017	Ill Considered	Tangled	heard_official_short_preview	Ill Considered	Tangled	Ill Considered	1.0	29.929	129.199	0.04037	4.20995	13.888	0.12543	0.05729	899.67	0.0778	3.50526	0.9737	11	136.324188232	2.96920323372	0.118518516421	D	major
worlds26-20260802-018	Max Cooper	Exotic Contents	heard_official_short_preview	Max Cooper	Exotic Contents	Unspoken Words	1.0	29.976	112.347	0.0306	5.47113	9.907	0.19374	0.06778	2028.97	0.26205	3.51907	0.8276	8					
worlds26-20260802-019	Robohands	Green	heard_official_short_preview	Robohands	Green	Green	1.0	29.929	129.199	0.04752	4.64431	8.155	0.07311	0.02429	1836.74	0.31638	3.48945	0.61222	6	97.3924789429	3.34163498878	0.070064984262	A	minor
worlds26-20260802-1505-001	Kessoncoda	Greyscale	heard_official_short_preview	Kessoncoda	Greyscale	Outerstate	1.0	29.976	151.999	0.02262	3.33606	24.734	0.10356	0.07594	1413.02	0.31487	3.5282	0.53032	2					
worlds26-20260802-1505-002	Immortal Onion	IA	no_usable_open_features_or_permitted_audio_found																					
worlds26-20260802-1505-003	BeraadGeslagen	Isabellade	heard_official_short_preview	BeraadGeslagen	Isabellade	Duizeldorp	1.0	29.976	129.199	0.03146	2.76893	19.517	0.1211	0.07892	2486.87	0.43266	3.5417	0.72158	12					
worlds26-20260802-1505-004	Shai Maestro	The Stone Skipper	heard_official_short_preview	Shai Maestro	The Stone Skipper	The Stone Skipper	1.0	29.952	129.199	0.04612	6.27665	11.801	0.05662	0.03147	1100.37	0.49493	3.54733	0.43397	11					
